"","DDR1","DDR2","DDR3","DDR4"
"KU70_CRISPRa_2_POLQ_CasRx_1",27972.5680425185,32308.8811887815,0,0
"KU70_CRISPRa_3_POLQ_CasRx_1",0,0,7226.16081879631,78277.1604955988
"DNA-PKcs_CRISPRa_5_POLQ_CasRx_1",0,35499.986937103,126420.802908281,0
"XRCC4_CRISPRa_2_POLQ_CasRx_1",16700.4030238917,0,31425.8867752792,0
"XLF_CRISPRa_1_POLQ_CasRx_1",967.351056225423,51595.4230980993,0,0
"53BP1_CRISPRa_1_POLQ_CasRx_1",17408.4340680567,24415.6695627388,0,0
"CtIP_CRISPRa_1_POLQ_CasRx_2",0,27854.9589071936,0,94582.9392164086
"RAD51_CRISPRa_5_POLQ_CasRx_2",0,12692.6444042082,60333.0825622337,0
"LIG3_CRISPRa_4_POLQ_CasRx_2",60839.1942901774,79617.0543223039,34280.8711892049,0
"NT_CRISPRa_1_POLQ_CasRx_2",12895.100375005,0,0,10514.5529091982
"CtIP_CRISPRa_1_POLQ_CasRx_3",44589.4447703907,0,27736.8691407454,0
"ATM_CRISPRa_3_POLQ_CasRx_3",14189.7579633067,0,0,17516.8645461444
"ATM_CRISPRa_5_POLQ_CasRx_3",21137.9803089258,2268.93336661059,29039.2882710141,0
"MRE11_CRISPRa_4_POLQ_CasRx_3",0,19147.8510761845,24357.3435582352,0
"RAD50_CRISPRa_2_POLQ_CasRx_3",0,27427.9371314937,140624.892776312,0
"NBN_CRISPRa_2_POLQ_CasRx_3",36262.0673044502,30761.3834717152,0,0
"NBN_CRISPRa_3_POLQ_CasRx_3",28017.2448985289,0,0,57478.0778431128
"XRCC4_CRISPRa_4_POLQ_CasRx_3",33838.8334838855,72040.1551227057,0,0
"XLF_CRISPRa_2_POLQ_CasRx_3",2150.31650450109,0,0,101383.865109707
"CtIP_CRISPRa_1_POLQ_CasRx_4",16265.2892957903,28542.3301415823,0,0
"ATM_CRISPRa_3_POLQ_CasRx_4",44637.0353344018,45125.6173910563,0,162.586655422498
"ATM_CRISPRa_4_POLQ_CasRx_4",0,50164.7176615663,0,110750.149764983
"BRCA2_CRISPRa_2_POLQ_CasRx_4",0,0,125712.480892309,6659.58635761813
"BRCA2_CRISPRa_5_POLQ_CasRx_4",105725.837276637,0,0,4982.91147357361
"RAD50_CRISPRa_3_POLQ_CasRx_4",25460.9517459332,474.468639666558,0,0
"NBN_CRISPRa_5_POLQ_CasRx_4",36286.3482044558,0,35.0970368274282,0
"KU70_CRISPRa_3_POLQ_CasRx_4",12269.6243908592,25363.3902558164,41776.9601276013,0
"DNA-PKcs_CRISPRa_1_POLQ_CasRx_4",44110.6254222792,8372.54661073141,0,63145.5160875277
"XLF_CRISPRa_4_POLQ_CasRx_4",33602.8231358305,28696.8365960379,0,0
"LIG4_CRISPRa_1_POLQ_CasRx_4",38491.0539249696,0,12292.25855285,17527.0262121083
"CtIP_CRISPRa_1_POLQ_CasRx_5",25236.5962298809,2086.4454282773,0,0
"CtIP_CRISPRa_2_POLQ_CasRx_5",49838.0041156138,20525.0267174731,0,0
"BRCA1_CRISPRa_2_POLQ_CasRx_5",41237.7093336097,0,0,38998.626393842
"POLD3_CRISPRa_1_POLQ_CasRx_5",32496.5853315727,50948.1992101439,0,0
"RAD50_CRISPRa_1_POLQ_CasRx_5",2836.9803566611,36639.9282585582,0,0
"RAD50_CRISPRa_3_POLQ_CasRx_5",2780.64866864798,0,0,16934.878222757
"LIG3_CRISPRa_1_POLQ_CasRx_5",37472.2273607322,0,0,91579.7050301669
"RAD51_CRISPRa_5_POLD3_CasRx_1",60297.2446020511,1554.79723459964,0,0
"RAD50_CRISPRa_1_POLD3_CasRx_1",28133.7932185561,16350.9192746629,0,0
"RAD50_CRISPRa_4_POLD3_CasRx_1",22286.9524971936,38368.6973277023,0,0
"PALB2_CRISPRa_1_POLD3_CasRx_1",52206.8487201658,41075.6017463128,27803.2344467463,0
"PALB2_CRISPRa_3_POLD3_CasRx_1",63924.8110628965,25264.8467691164,0,0
"PALB2_CRISPRa_4_POLD3_CasRx_1",14884.1917034685,1194.68770295528,0,0
"PALB2_CRISPRa_5_POLD3_CasRx_1",38378.3905489434,0,14302.3615711482,0
"NBN_CRISPRa_2_POLD3_CasRx_1",74680.2785294028,0,0,10493.3057894554
"LIG4_CRISPRa_2_POLD3_CasRx_1",33425.0869477891,27607.9918973159,0,0
"LIG3_CRISPRa_1_POLD3_CasRx_1",0,26573.8935800939,0,35769.0641929496
"POLQ_CRISPRa_2_POLD3_CasRx_2",43527.8838221434,73455.0449379164,0,0
"EXO1_CRISPRa_5_POLD3_CasRx_2",59637.7753578975,53129.5383663545,0,0
"RAD50_CRISPRa_1_POLD3_CasRx_2",36565.0929365208,63041.0665903633,64054.6447218258,0
"PALB2_CRISPRa_1_POLD3_CasRx_2",40896.8054975302,34999.9699860697,0,0
"PALB2_CRISPRa_4_POLD3_CasRx_2",0,0,15747.7213604959,74629.1224145565
"NBN_CRISPRa_4_POLD3_CasRx_2",1813.29761242255,0,42783.9260205773,0
"NBN_CRISPRa_5_POLD3_CasRx_2",85494.991391923,0,0,101487.329344975
"DNA-PKcs_CRISPRa_4_POLD3_CasRx_2",0,0,82318.5045588771,22078.5287761234
"XRCC4_CRISPRa_1_POLD3_CasRx_2",30675.5178311484,48269.2762754111,0,0
"XLF_CRISPRa_1_POLD3_CasRx_2",6447.06456950237,85327.7102058804,0,0
"XLF_CRISPRa_4_POLD3_CasRx_2",41562.1021576853,65194.4242626961,128561.084026812,0
"LIG4_CRISPRa_5_POLD3_CasRx_2",0,37334.5990104803,41894.3756689876,0
"53BP1_CRISPRa_5_POLD3_CasRx_2",0,50653.7853362995,0,1434.64247654057
"NT_CRISPRa_2_POLD3_CasRx_2",48239.3496592413,42312.8699682125,0,0
"NT_CRISPRa_3_POLD3_CasRx_2",0,35972.0224042584,22575.6903432865,0
"NT_CRISPRa_5_POLD3_CasRx_2",325.36406007582,0,105120.092193744,0
"CtIP_CRISPRa_5_POLD3_CasRx_3",0,0,12896.5657142241,122150.615188671
"BRCA1_CRISPRa_2_POLD3_CasRx_3",0,25746.6149263163,72815.5032418942,0
"POLQ_CRISPRa_4_POLD3_CasRx_3",0,68884.3303757953,93292.3907829004,0
"POLQ_CRISPRa_5_POLD3_CasRx_3",70486.4814804255,0,16320.7602526964,0
"XRCC1_CRISPRa_3_POLD3_CasRx_3",74735.6389814157,27019.1641496271,0,0
"DNA-PKcs_CRISPRa_5_POLD3_CasRx_3",7629.05878177781,0,55014.2861630226,0
"XLF_CRISPRa_1_POLD3_CasRx_3",74997.8727014768,40182.6274347352,0,0
"LIG4_CRISPRa_1_POLD3_CasRx_3",28112.4260265511,0,0,93261.9226411008
"CtIP_CRISPRa_3_POLD3_CasRx_4",27587.9585864289,31532.6991577372,0,0
"CtIP_CRISPRa_4_POLD3_CasRx_4",0,56700.2190264092,128.901844348009,0
"ATM_CRISPRa_5_POLD3_CasRx_4",0,57754.9993099756,0,65703.4845469873
"BRCA1_CRISPRa_5_POLD3_CasRx_4",17156.8839439981,22292.7265467949,0,0
"POLQ_CRISPRa_4_POLD3_CasRx_4",30777.4976111721,0,371.390462428422,0
"MRE11_CRISPRa_5_POLD3_CasRx_4",25933.9436780434,0,380.962381563175,0
"PALB2_CRISPRa_1_POLD3_CasRx_4",0,22481.2974164059,0,44298.3970879265
"XLF_CRISPRa_3_POLD3_CasRx_4",27654.0026344442,0,0,23675.7579080864
"LIG4_CRISPRa_4_POLD3_CasRx_4",0,48878.7859894443,11197.2310038342,0
